,word_id,token,NER_annotation_edg,nested_annotation_edg,NER_annotation_MF,nested_annotation_MF,notes_mf,notes_mf.1,NER_annotation,NER_nested_annotation,IAA_NER,IAA_NER_nested,Notes_IAA_edg,Unnamed: 13,Unnamed: 14,in_training
0,105415271,ἔφη,,,,,,,,,match,match,,,,False
1,105415272,γὰρ,,,,,,,,,match,match,,,,False
2,105415273,περὶ,,,,,,,,,match,match,,,,False
3,105415274,μὲν,,,,,,,,,match,match,,,,False
4,105415275,τῶν,,,,,,,,,match,match,,,,False
5,105415276,κορυφαίων,,,,,,,,,match,match,,,,False
6,105415277,καλῶς,,,,,,,,,match,match,,,,False
7,105415278,βεβουλεῦσθαι,,,,,,,,,match,match,,,,False
8,105415279,Ῥωμαίους,B-GRP,,B-GRP,,,,B-GRP,,match,match,,,,False
9,105415280,,,,,,,,,,match,match,,,,False
10,105415281,ἀπαγαγόντας,,,,,,,,,match,match,,,,False
11,105415282,αὐτοὺς,,,,,,,,,match,match,,,,False
12,105415283,εἰς,,,,,,,,,match,match,,,,False
13,105415284,τὴν,,,,,,,,,match,match,,,,False
14,105415285,Ῥώμην,B-LOC,,B-LOC,,,,B-LOC,,match,match,,,,False
15,105415286,,,,,,,,,,match,match,,,,False
16,105415287,λέγων,,,,,,,,,match,match,,,,False
17,105415288,τοὺς,,,,,,,,,match,match,,,,False
18,105415289,περὶ,,,,,,,,,match,match,,,,False
19,105415290,τὸν,,,,,,,,,match,match,,,,False
20,105415291,Εὐπόλεμον,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
21,105415292,καὶ,,,,,,,,,match,match,,,,False
22,105415293,Νίκανδρον,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
23,105415294,,,,,,,,,,match,match,,,,False
24,105415295,τοὺς,,,,,,,,,match,match,,,,False
25,105415296,δὲ,,,,,,,,,match,match,,,,False
26,105415297,συναγωνιστὰς,,,,,,,,,match,match,,,,False
27,105415298,καὶ,,,,,,,,,match,match,,,,False
28,105415299,τοὺς,,,,,,,,,match,match,,,,False
29,105415300,παραστάτας,,,,,,,,,match,match,,,,False
30,105415301,τοὺς,,,,,,,,,match,match,,,,False
31,105415302,ἐκείνων,,,,,,,,,match,match,,,,False
32,105415303,ἔτι,,,,,,,,,match,match,,,,False
33,105415304,μένειν,,,,,,,,,match,match,,,,False
34,105415305,κατὰ,,,,,,,,,match,match,,,,False
35,105415306,τὴν,,,,,,,,,match,match,,,,False
36,105415307,Αἰτωλίαν,B-LOC,,B-LOC,,,,B-LOC,,match,match,,,,False
37,105415308,,,,,,,,,,match,match,,,,False
38,105415309,οὓς,,,,,,,,,match,match,,,,False
39,105415310,δεῖν,,,,,,,,,match,match,,,,False
40,105415311,ἅπαντας,,,,,,,,,match,match,,,,False
41,105415312,τῆς,,,,,,,,,match,match,,,,False
42,105415313,αὐτῆς,,,,,,,,,match,match,,,,False
43,105415314,τυχεῖν,,,,,,,,,match,match,,,,False
44,105415315,ἐκείνοις,,,,,,,,,match,match,,,,False
45,105415316,ἐπιστροφῆς,,,,,,,,,match,match,,,,False
46,105415317,,,,,,,,,,match,match,,,,False
47,105415318,ἂν,,,,,,,,,match,match,,,,False
48,105415319,μὴ,,,,,,,,,match,match,,,,False
49,105415320,προῶνται,,,,,,,,,match,match,,,,False
50,105415321,τὰ,,,,,,,,,match,match,,,,False
51,105415322,τέκνα,,,,,,,,,match,match,,,,False
52,105415323,Ῥωμαίοις,B-GRP,,B-GRP,,,,B-GRP,,match,match,,,,False
53,105415324,εἰς,,,,,,,,,match,match,,,,False
54,105415325,ὁμηρείαν,,,,,,,,,match,match,,,,False
55,105415326,.,,,,,,,,,match,match,,,,False
56,nan,,,,,,,,,,match,match,,,,False
57,114456380,Θόας,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
58,114456381,,,,,,,,,,match,match,,,,False
59,114456382,κύριον,,,,,,,,,match,match,,,,False
60,114456383,,,,,,,,,,match,match,,,,False
61,114456384,καὶ,,,,,,,,,match,match,,,,False
62,114456385,κλίνεται,,,,,,,,,match,match,,,,False
63,114456386,Θόαντος,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
64,114456387,·,,,,,,,,,match,match,,,,False
65,nan,,,,,,,,,,match,match,,,,False
66,117901375,τὸ,,,,,,,,,match,match,,,,False
67,117901376,ἐμβαδὸν,,,,,,,,,match,match,,,,False
68,117901377,ἔστω,,,,,,,,,match,match,,,,False
69,117901378,ποδῶν,,,,,,,,,match,match,,,,False
70,117901379,Ϛ,O,,O,,,,O,,match,match,,,,False
71,117901380,.,,,,,,,,,match,match,,,,False
72,nan,,,,,,,,,,match,match,,,,False
73,114578751,καὶ,,,,,,,,,match,match,,,,False
74,114578752,πρῶτον,,,,,,,,,match,match,,,,False
75,114578753,ἐπὶ,,,,,,,,,match,match,,,,False
76,114578754,Θήβας,B-LOC,,B-LOC,,,,B-LOC,,match,match,,,,False
77,114578755,στρατεύει,,,,,,,,,match,match,,,,False
78,114578756,,,,,,,,,,match,match,,,,False
79,114578757,ἔνθα,,,,,,,,,match,match,,,,False
80,114578758,τῶν,,,,,,,,,match,match,,,,False
81,114578759,ἀρίστων,,,,,,,,,match,match,,,,False
82,114578760,Ἀργείων,B-GRP,,B-GRP,,,,B-GRP,,match,match,,,,False
83,114578761,πεσόντων,,,,,,,,,match,match,,,,False
84,114578762,μόνος,,,,,,,,,match,match,,,,False
85,114578763,διέφυγεν,,,,,,,,,match,match,,,,False
86,114578764,Ἄδραστος,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
87,114578765,.,,,,,,,,,match,match,,,,False
88,nan,,,,,,,,,,match,match,,,,False
89,118887092,τούτων,,,,,,,,,match,match,,,,False
90,118887093,ἐμφορηθὲν,,,,,,,,,match,match,,,,False
91,118887094,ἐξήλασεν,,,,,,,,,match,match,,,,False
92,118887095,ἐκ,,,,,,,,,match,match,,,,False
93,118887096,τοῦ,,,,,,,,,match,match,,,,False
94,118887097,Ἰλίου,B-LOC,,B-LOC,,,,B-LOC,,match,match,,,,False
95,118887098,,,,,,,,,,match,match,,,,False
96,118887099,καὶ,,,,,,,,,match,match,,,,False
97,118887100,πρὶν,,,,,,,,,match,match,,,,False
98,118887101,ἢ,,,,,,,,,match,match,,,,False
99,118887102,δέκα,,,,,,,,,match,match,,,,False
100,118887103,πορευθῆναι,,,,,,,,,match,match,,,,False
101,118887104,σταδίους,,,,,,,,,match,match,,,,False
102,118887105,ποταμὸς,,,,,,,,,match,match,,,,False
103,118887106,οὕτω,,,,,,,,,match,match,,,,False
104,118887107,βραχύς,,,,,,,,,match,match,,,,False
105,118887108,,,,,,,,,,match,match,,,,False
106,118887109,ὡς,,,,,,,,,match,match,,,,False
107,118887110,μη,,,,,,,,,match,match,,,,False
108,118887111,-δὲ,,,,,,,,,match,match,,,,False
109,118887112,ὄνομα,,,,,,,,,match,match,,,,False
110,118887113,αὐτοῦ,,,,,,,,,match,match,,,,False
111,118887114,ἐν,,,,,,,,,match,match,,,,False
112,118887115,Τροίᾳ,B-LOC,,B-LOC,,,,B-LOC,,match,match,,,,False
113,118887116,εἶναι,,,,,,,,,match,match,,,,False
114,118887117,,,,,,,,,,match,match,,,,False
115,118887118,μέγας,,,,,,,,,match,match,,,,False
116,118887119,ἐκ,,,,,,,,,match,match,,,,False
117,118887120,μικροῦ,,,,,,,,,match,match,,,,False
118,118887121,αἴρεται,,,,,,,,,match,match,,,,False
119,118887122,καὶ,,,,,,,,,match,match,,,,False
120,118887123,ὡς,,,,,,,,,match,match,,,,False
121,118887124,ἀπήγγελλον,,,,,,,,,match,match,,,,False
122,118887125,οἱ,,,,,,,,,match,match,,,,False
123,118887126,διαφυγόντες,,,,,,,,,match,match,,,,False
124,118887127,τῶν,,,,,,,,,match,match,,,,False
125,118887128,ὀπαδῶν,,,,,,,,,match,match,,,,False
126,118887129,,,,,,,,,,match,match,,,,False
127,118887130,ὁπλίτης,,,,,,,,,match,match,,,,False
128,118887131,ἡγεῖτο,,,,,,,,,match,match,,,,False
129,118887132,τοῦ,,,,,,,,,match,match,,,,False
130,118887133,ποταμοῦ,,,,,,,,,match,match,,,,False
131,118887134,μέγας,,,,,,,,,match,match,,,,False
132,118887135,παρακελευόμενος,,,,,,,,,match,match,,,,False
133,118887136,αὐτῷ,,,,,,,,,match,match,,,,False
134,118887137,βαρβάρῳ,,,,,,,,,match,match,,,,False
135,118887138,τῇ,,,,,,,,,match,match,,,,False
136,118887139,φωνῇ,,,,,,,,,match,match,,,,False
137,118887140,καὶ,,,,,,,,,match,match,,,,False
138,118887141,σφοδρᾷ,,,,,,,,,match,match,,,,False
139,118887142,ἐπιστρέφειν,,,,,,,,,match,match,,,,False
140,118887143,τὸ,,,,,,,,,match,match,,,,False
141,118887144,ὕδωρ,,,,,,,,,match,match,,,,False
142,118887145,ἐς,,,,,,,,,match,match,,,,False
143,118887146,τὴν,,,,,,,,,match,match,,,,False
144,118887147,ὁδόν,,,,,,,,,match,match,,,,False
145,118887148,,,,,,,,,,match,match,,,,False
146,118887149,δι’,,,,,,,,,match,match,,,,False
147,118887150,ἧς,,,,,,,,,match,match,,,,False
148,118887151,τὸ,,,,,,,,,match,match,,,,False
149,118887152,μειράκιον,,,,,,,,,match,match,,,,False
150,118887153,ἤλαυνεν,,,,,,,,,match,match,,,,False
151,118887154,ἐπὶ,,,,,,,,,match,match,,,,False
152,118887155,τεττάρων,,,,,,,,,match,match,,,,False
153,118887156,ἵππων,,,,,,,,,match,match,,,,False
154,118887157,οὐ,,,,,,,,,match,match,,,,False
155,118887158,μεγάλων,,,,,,,,,match,match,,,,False
156,118887159,,,,,,,,,,match,match,,,,False
157,118887160,οὓς,,,,,,,,,match,match,,,,False
158,118887161,ὑπολαβὼν,,,,,,,,,match,match,,,,False
159,118887162,ὁ,,,,,,,,,match,match,,,,False
160,118887163,ποταμὸς,,,,,,,,,match,match,,,,False
161,118887164,ὁμοῦ,,,,,,,,,match,match,,,,False
162,118887165,τῷ,,,,,,,,,match,match,,,,False
163,118887166,μειρακίῳ,,,,,,,,,match,match,,,,False
164,118887167,βοῶντί,,,,,,,,,match,match,,,,False
165,118887168,τε,,,,,,,,,match,match,,,,False
166,118887169,καὶ,,,,,,,,,match,match,,,,False
167,118887170,ξυνιέντι,,,,,,,,,match,match,,,,False
168,118887171,λοιπὸν,,,,,,,,,match,match,,,,False
169,118887172,τοῦ,,,,,,,,,match,match,,,,False
170,118887173,Ἕκτορος,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
171,118887174,ἀπήγαγεν,,,,,,,,,match,match,,,,False
172,118887175,ἐς,,,,,,,,,match,match,,,,False
173,118887176,τὰ,,,,,,,,,match,match,,,,False
174,118887177,ἑαυτοῦ,,,,,,,,,match,match,,,,False
175,118887178,ἤθη,,,,,,,,,match,match,,,,False
176,118887179,καὶ,,,,,,,,,match,match,,,,False
177,118887180,οὕτως,,,,,,,,,match,match,,,,False
178,118887181,ἀπώλεσεν,,,,,,,,,match,match,,,,False
179,118887182,,,,,,,,,,match,match,,,,False
180,118887183,ὡς,,,,,,,,,match,match,,,,False
181,118887184,μη,,,,,,,,,match,match,,,,False
182,118887185,-δὲ,,,,,,,,,match,match,,,,False
183,118887186,ἀνελέσθαι,,,,,,,,,match,match,,,,False
184,118887187,ξυγχωρῆσαι,,,,,,,,,match,match,,,,False
185,118887188,τὸ,,,,,,,,,match,match,,,,False
186,118887189,σῶμα,,,,,,,,,match,match,,,,False
187,118887190,,,,,,,,,,match,match,,,,False
188,118887191,ᾤχετο,,,,,,,,,match,match,,,,False
189,118887192,γὰρ,,,,,,,,,match,match,,,,False
190,118887193,οὐκ,,,,,,,,,match,match,,,,False
191,118887194,οἶδ’,,,,,,,,,match,match,,,,False
192,118887195,ὅποι,,,,,,,,,match,match,,,,False
193,118887196,ἀφανισθέν,,,,,,,,,match,match,,,,False
194,118887197,.,,,,,,,,,match,match,,,,False
195,nan,,,,,,,,,,match,match,,,,False
196,107999280,οὐκ,,,,,,,,,match,match,,,,False
197,107999281,ἐξαρθήσεταί,,,,,,,,,match,match,,,,False
198,107999282,σοι,,,,,,,,,match,match,,,,False
199,107999283,ἡγούμενος,,,,,,,,,match,match,,,,False
200,107999284,ἀνὴρ,,,,,,,,,match,match,,,,False
201,107999285,ἐν,,,,,,,,,match,match,,,,False
202,107999286,Ἰσραήλ,B-LOC,,B-LOC,,,,B-LOC,,match,match,,,,False
203,107999287,.,,,,,,,,,match,match,,,,False
204,nan,,,,,,,,,,match,match,,,,False
205,nan,,,,,,,,,,match,match,,,,False
206,106903833,ὁ,,,,,,,,,match,match,,,,False
207,106903834,δὲ,,,,,,,,,match,match,,,,False
208,106903835,βασιλεὺς,,,,,,,,,match,match,,,,False
209,106903836,ἀκολούθως,,,,,,,,,match,match,,,,False
210,106903837,τῇ,,,,,,,,,match,match,,,,False
211,106903838,τοῦ,,,,,,,,,match,match,,,,False
212,106903839,συνεδρίου,,,,,,,,,match,match,,,,False
213,106903840,γνώμῃ,,,,,,,,,match,match,,,,False
214,106903841,τὴν,,,,,,,,,match,match,,,,False
215,106903842,μὲν,,,,,,,,,match,match,,,,False
216,106903843,πόλιν,,,,,,,,,match,match,,,,False
217,106903844,κατασκάψας,,,,,,,,,match,match,,,,False
218,106903845,πολὺν,,,,,,,,,match,match,,,,False
219,106903846,ἐπέστησε,,,,,,,,,match,match,,,,False
220,106903847,φόβον,,,,,,,,,match,match,,,,False
221,106903848,τοῖς,,,,,,,,,match,match,,,,False
222,106903849,ἀφισταμένοις,,,,,,,,,match,match,,,,False
223,106903850,τῶν,,,,,,,,,match,match,,,,False
224,106903851,Ἑλλήνων,B-GRP,,B-GRP,,,,B-GRP,,match,match,,,,False
225,106903852,,,,,,,,,,match,match,,,,False
226,106903853,τοὺς,,,,,,,,,match,match,,,,False
227,106903854,δ’,,,,,,,,,match,match,,,,False
228,106903855,αἰχμαλώτους,,,,,,,,,match,match,,,,False
229,106903856,λαφυροπωλήσας,,,,,,,,,match,match,,,,False
230,106903857,ἤθροισεν,,,,,,,,,match,match,,,,False
231,106903858,ἀργυρίου,,,,,,,,,match,match,,,,False
232,106903859,τάλαντα,,,,,,,,,match,match,,,,False
233,106903860,τετρακόσια,,,,,,,,,match,match,,,,False
234,106903861,καὶ,,,,,,,,,match,match,,,,False
235,106903862,τεσσαράκοντα,,,,,,,,,match,match,,,,False
236,106903863,.,,,,,,,,,match,match,,,,False
237,nan,,,,,,,,,,match,match,,,,False
238,101181371,ἀσπίδι,,,,,,,,,match,match,,,,False
239,101181372,μὲν,,,,,,,,,match,match,,,,False
240,101181373,Σαΐων,B-GRP,,B-GRP,,,,B-GRP,,match,match,,,,False
241,101181374,τις,,,,,,,,,match,match,,,,False
242,101181375,ἀγάλλεται,,,,,,,,,match,match,,,,False
243,101181376,,,,,,,,,,match,match,,,,False
244,101181377,ἣν,,,,,,,,,match,match,,,,False
245,101181378,παρὰ,,,,,,,,,match,match,,,,False
246,101181379,θάμνῳ,,,,,,,,,match,match,,,,False
247,101181380,ἔντος,,,,,,,,,match,match,,,,False
248,101181381,ἀμώμητον,,,,,,,,,match,match,,,,False
249,101181382,κάλλιπον,,,,,,,,,match,match,,,,False
250,101181383,οὐκ,,,,,,,,,match,match,,,,False
251,101181384,ἐθέλων,,,,,,,,,match,match,,,,False
252,101181385,.,,,,,,,,,match,match,,,,False
253,nan,,,,,,,,,,match,match,,,,False
254,101288125,πρὶν,,,,,,,,,match,match,,,,False
255,101288126,δὲ,,,,,,,,,match,match,,,,False
256,101288127,ἥκειν,,,,,,,,,match,match,,,,False
257,101288128,αὐτὸν,,,,,,,,,match,match,,,,False
258,101288129,οἱ,,,,,,,,,match,match,,,,False
259,101288130,Ἀθηναῖοι,B-GRP,,B-GRP,,,,B-GRP,,match,match,,,,False
260,101288131,στρατηγοὺς,,,,,,,,,match,match,,,,False
261,101288132,εἴλοντο,,,,,,,,,match,match,,,,False
262,101288133,Ἀλκιβιάδην,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
263,101288134,μὲν,,,,,,,,,match,match,,,,False
264,101288135,φεύγοντα,,,,,,,,,match,match,,,,False
265,101288136,καὶ,,,,,,,,,match,match,,,,False
266,101288137,Θρασύβουλον,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
267,101288138,ἀπόντα,,,,,,,,,match,match,,,,False
268,101288139,,,,,,,,,,match,match,,,,False
269,101288140,Κόνωνα,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
270,101288141,δὲ,,,,,,,,,match,match,,,,False
271,101288142,τρίτον,,,,,,,,,match,match,,,,False
272,101288143,ἐκ,,,,,,,,,match,match,,,,False
273,101288144,τῶν,,,,,,,,,match,match,,,,False
274,101288145,οἴκοθεν,,,,,,,,,match,match,,,,False
275,101288146,.,,,,,,,,,match,match,,,,False
276,nan,,,,,,,,,,match,match,,,,False
277,100330006,οἱ,,,,,,,,,match,match,,,,False
278,100330007,δὲ,,,,,,,,,match,match,,,,False
279,100330008,μετὰ,,,,,,,,,match,match,,,,False
280,100330009,τοῦ,,,,,,,,,match,match,,,,False
281,100330010,Κύλωνος,B-PER,,B-PER,,,,B-PER,,match,match,,,,False
282,100330011,πολιορκούμενοι,,,,,,,,,match,match,,,,False
283,100330012,φλαύρως,,,,,,,,,match,match,,,,False
284,100330013,εἶχον,,,,,,,,,match,match,,,,False
285,100330014,σίτου,,,,,,,,,match,match,,,,False
286,100330015,τε,,,,,,,,,match,match,,,,False
287,100330016,καὶ,,,,,,,,,match,match,,,,False
